City,Latitude,Longitude,"The absolute minimum, °C","The temperature of the coldest month, °C","The average annual temperature, °C","The temperature of the warmest month, °C","The absolute maximum, °C","The average annual precipitation, mm"
Абакан,53.7175644,91.4293172,−38.0,−17.5,3,25,45,323
Алдан,58.6057234,125.3961002,−48.7,−26.3,−5.5,16.6,35.2,718
Александров Гай,50.1437707,48.5494505,−39.9,−8.7,7.4,24.2,43.8,329
Александровск-Сахалинский,50.9079229,142.1746356,−41.0,−16.3,0.9,16.6,32.6,679
Анадырь,64.7336613,177.4968265,−46.8,−22.6,−6.9,11.6,30,384
Анапа,44.8857008,37.3199192,−23.9,2.4,12.2,23.2,38.2,564
Архангельск,64.5472507,40.5601553,−45.2,−12.8,1.3,16.3,34.4,607
Астрахань,46.3588045,48.0599345,−37.7,−3.7,10.5,25.6,41,233
Аян,56.454056,138.167328,−37.9,−17.8,−2.3,13.7,33.7,923
Балтийск,54.6591222,19.9228947,−20.8,0.3,8.7,18.4,31.7,752
Баренцбург,78.0670848,14.2192501,−39.0,−12.5,−5.0,6,20.3,553
Барнаул,53.3547792,83.7697833,−48.2,−15.5,2.6,19.9,38.3,431
Белгород,50.5997134,36.5982621,−34.5,−6.1,7.7,21.8,38.9,605
Березники,59.4131827,56.7849318,−48.3,−15.2,1.6,17.4,36.7,656
Биробиджан,48.7803574,132.9130744,−43.7,−22.2,1.9,21.1,39.9,682
Благовещенск,50.2727763,127.5404017,−45.4,−21.5,1.6,21.8,39.4,543
Богучаны,58.3776603,97.4548173,−53.5,−23.3,−1.5,19.1,37.7,361
Бор,56.3588296,44.0766797,−56.0,−23.6,−3.1,18.2,36.1,595
Борзя,50.3835754,116.5091084,−50.0,−27.2,−2.4,19.4,41.3,295
Брянск,53.2635306,34.41611,−35.0,−6.1,6.1,19,38.4,671
Ванавара,60.3394104,102.2965426,−61.0,−28.6,−5.1,17.8,35.7,422
Великие Луки,56.3396088,30.5314751,−45.7,−6.0,5.7,18,36.2,639
Великий Новгород,58.5255698,31.2741929,−45.0,−9.2,4.3,17.3,34,550
Верхоянск,67.5505925,133.3993398,−67.8,−45.4,−14.5,16.5,37.3,178
Вилюйск,63.7464403,121.6276667,−60.9,−35.8,−8.2,18.7,37.4,285
Владивосток,43.1198091,131.8869243,−31.4,−12.3,4.9,19.8,33.6,818
Владикавказ,43.0252344,44.6659759,−27.8,−1.9,9.2,20.6,39.2,929
Владимир,56.1445956,40.4178687,−43.0,−8.7,4.7,18,37.1,584
